name,category,ratevalue,reviewcount,address,postcode,city,area,telephone,website,price,url
"Eduardo’s Pizza Service, Gattringer","Eisdiele & Frozen YogurtPizzaLieferserviceItalienisches Restaurant","1.5","3","Italiener Strasse 17","9500","Villach","","04242 2199210","eduardos.at","","http://www.yelp.at/biz/eduardos-pizza-service-gattringer-villach-2"
"Xo-Noodles","Chinesisches RestaurantItalianAmerican (Traditional)BarsAsian Fusion","4.0","115513","Kärntner Ring 11-13","1010","Wien","Innere Stadt","01 5338390","xo-noodles.com","€ 11-20","http://www.yelp.at/biz/xo-noodles-wien-3"
"Latte Grande","Italienisches RestaurantBar","4.0","34","Währinger Gürtel 139","1180","Wien","Döbling","01 3301590","lattegrande.at","€ 11-20","http://www.yelp.at/biz/latte-grande-wien"
"Tulsi Indian Cuisine","Indisches Restaurant","4.5","12","Fluchtgasse 1","1090","Wien","Alsergrund","01 3101777","tulsi.co.at","€ 11-20","http://www.yelp.at/biz/tulsi-indian-cuisine-wien"
"Nam Nam Deli","Indisches RestaurantFast Food","4.0","16","Arbeitergasse 8","1050","Wien","Margareten","01 9416511","nam-nam.at/dabba","€ 11-20","http://www.yelp.at/biz/nam-nam-deli-wien-3"
"Natsu","SushiJapanisches Restaurant","4.0","36","Burggasse 71","1070","Wien","Neubau","01 5221903","","Unter € 10","http://www.yelp.at/biz/natsu-wien-2"
"Okinawa Sushi Bar","Sushi","4.5","9","Währinger Str. 52","1090","Wien","Alsergrund","01 9421062","","Unter € 10","http://www.yelp.at/biz/okinawa-sushi-bar-wien"
"Chimbiss","Deutsches Restaurant","5.0","7","Nelkengasse 1","1060","Wien","Mariahilf","01 5852685","chimbiss.at","€ 11-20","http://www.yelp.at/biz/chimbiss-wien-2"
"Schrittesser Speck & Bar","Österreichisches RestaurantBar","4.5","11","Reichsratsstr. 11","1010","Wien","Innere Stadt","0650 3320213","schrittesser.at","€ 21-40","http://www.yelp.at/biz/schrittesser-speck-und-bar-wien"
"Blueorange","CaféBagelsCoffee ShopCaféCoffee ShopFrühstück & Brunch","4.0","3334","Margaretenstr. 9","1040","Wien","Wieden, Freihausviertel","01 5811770","blueorange.co.at","€ 11-20","http://www.yelp.at/biz/blueorange-wien-6"
"Schiller´s","BarKebabPizza","","","Langgasse 2a","4020","Volksgartenviertel","","0732 273993","","Unter € 10","http://www.yelp.at/biz/schiller-s-volksgartenviertel"
"Pizzeria Hitz","Pizza","","","Hanuschstr. 78","4020","Linz","","0732 661190","","","http://www.yelp.at/biz/pizzeria-hitz-linz"
"Pizza Italy of Salzburg","PizzaItalienisches Restaurant","5.0","1","Ignaz-Harrerstrasse 83Staatlich geprüfte Fremdenführer","5020","Salzburg","","0662 434340","","","http://www.yelp.at/biz/pizza-italy-of-salzburg-salzburg"
"Popeye Kebab","Türkisches RestaurantKebab","","","Ignaz-Harrer-Str. 56","5020","Salzburg","","0664 4839436","popeye-kebab.at","","http://www.yelp.at/biz/popeye-kebab-salzburg"
"Milton!","Internationales RestaurantVeganes RestaurantVegetarisches Restaurant","","","Vogelweiderstr. 61","5020","Salzburg","","0676 3661174","milton-salzburg.at","","http://www.yelp.at/biz/milton-salzburg"
"Pizza Boys of Salzburg","Italienisches RestaurantPizza","5.0","1","Ganshofstr. 9","5020","Salzburg","","0662 828494","pizzaboys.at","€ 11-20","http://www.yelp.at/biz/pizza-boys-of-salzburg-salzburg"
"Diyar Kebap & Pizza","KebabPizza","2.5","2","Elisabeth Str. 44","5020","Salzburg","","0662 452046","","Unter € 10","http://www.yelp.at/biz/diyar-kebap-und-pizza-salzburg"
"Cipollino","PizzaItalienisches Restaurant","4.5","12","Rückertgasse 33","1160","Wien","Ottakring","01 4854866","cipollino.at","€ 21-40","http://www.yelp.at/biz/cipollino-wien-2"
"Restaurant Samrat","Indisches Restaurant","4.5","9","Florianigasse 20","1080","Wien","Josefstadt","01 4084741","","€ 11-20","http://www.yelp.at/biz/restaurant-samrat-wien-2"
"Hollerei","Vegetarisches Restaurant","4.0","49","Hollergasse 9","1150","Wien","Rudolfsheim-Fünfhaus","01 8923356","hollerei.at","€ 11-20","http://www.yelp.at/biz/hollerei-wien-2"
"neuDeli","Internationales Restaurant","4.5","8","Wipplingerstr. 20","1010","Wien","Innere Stadt","0664 5725338","neudeli.at","Unter € 10","http://www.yelp.at/biz/neudeli-wien"
"Kebab Haus-Oase","Türkisches Restaurant","4.5","7","Friedmanngasse 14","1160","Wien","Ottakring","01 4098167","","€ 11-20","http://www.yelp.at/biz/kebab-haus-oase-wien"
"Kiang","Asiatisches Restaurant","4.0","19","Rotgasse 8","1010","Wien","Innere Stadt","01 5330856","kiang.at","€ 11-20","http://www.yelp.at/biz/kiang-wien"
"ef16 Restaurant Weinbar","Restaurant","4.5","11","Fleischmarkt 16","1010","Wien","Innere Stadt","01 5132318","ef16.at","€ 21-40","http://www.yelp.at/biz/ef16-restaurant-weinbar-wien"
"Bamboo","Chinesisches RestaurantAsiatisches Restaurant","4.0","23","Margaretenstr. 51","1050","Wien","Margareten","01 5854061","bamboo-restaurant.at","€ 11-20","http://www.yelp.at/biz/bamboo-wien-2"
"Kimchi","Koreanisches RestaurantThailändisches Restaurant","4.5","17","Marxergasse  15","1030","Wien","Landstraße","01 7133734","kimchi-wien.at","€ 11-20","http://www.yelp.at/biz/kimchi-wien-2"
"Akakiko","Japanisches Restaurant","4.0","33","Mariahilfer Str. 42-48","1070","Wien","Neubau","057 333150","akakiko.at","€ 11-20","http://www.yelp.at/biz/akakiko-wien-2"
"China Restaurant Shanghai Town Salzburg","Chinesisches Restaurant","4.0","2","Franz-Josefstr. 24","5020","Salzburg","","","shanghaitown-salzburg.com","€ 11-20","http://www.yelp.at/biz/china-restaurant-shanghai-town-salzburg-salzburg"
"Asia Bistro","Fast Food","5.0","1","Wiener Straße 61","4020","Linz","","0732 604655","","Unter € 10","http://www.yelp.at/biz/asia-bistro-linz"
"Unipizza","KebabPizza","3.0","1","Johann-Wilhelm-Klein-Str. 53","4040","Linz","","0732 243455","unipizza.at","Unter € 10","http://www.yelp.at/biz/unipizza-linz"
"Phone Box","PizzaBurgerÖsterreichisches Restaurant","","","Weißenwolffstr. 1","4020","Linz","","0732 776271","phonebox-pizzeria.at","€ 11-20","http://www.yelp.at/biz/phone-box-linz-2"
"Da Vinci Linz","Mexikanisches RestaurantItalienisches RestaurantGriechisches Restaurant","5.0","2","Schillerstr. 2","4020","Linz","","0732 601775","davinci-ristorante.at","€ 11-20","http://www.yelp.at/biz/da-vinci-linz-linz"
"Oishi Sushi","SushiJapanisches RestaurantWok","5.0","3","Gumpendorferstr. 36","1060","Wien","Mariahilf","01 5857819","","Unter € 10","http://www.yelp.at/biz/oishi-sushi-wien"
"Café Orient","Coffee ShopNahöstliches Restaurant","3.5","13","Neubaugasse 59","1070","Wien","Neubau","01 2366858","cafeorient.at","Unter € 10","http://www.yelp.at/biz/caf%C3%A9-orient-wien-2"
"Thali","Indisches Restaurant","4.0","20","Vorgartenstr. 173","1020","Wien","Leopoldstadt","01 2124477","go-thali.at","€ 11-20","http://www.yelp.at/biz/thali-wien"
"AJ’S American Diner","Amerikanisches RestaurantLieferservice","4.0","16","Gumpendorferstr. 63a","1060","Wien","Mariahilf","01 2088282","","€ 11-20","http://www.yelp.at/biz/ajs-american-diner-wien"
"Pizzeria da Peppino","Italienisches RestaurantPizza","5.0","6","Lerchenfelder Str. 65","1070","Wien","Neubau","01 9614121","dapeppino.at","€ 11-20","http://www.yelp.at/biz/pizzeria-da-peppino-wien-2"
"I Vecchi Amici","PizzaItalienisches Restaurant","4.5","8","Liechtensteinstr. 24","1090","Wien","Alsergrund","01 3191286","ivecchiamici.at","€ 21-40","http://www.yelp.at/biz/i-vecchi-amici-wien"
"Gabel & Co","Österreichisches Restaurant","4.5","16","Julius Tandler Platz 1","1090","Wien","Alsergrund","01 3170316","","€ 11-20","http://www.yelp.at/biz/gabel-and-co-wien"
"Natraj","Indisches Restaurant","4.5","8","Marchettigasse 18","1060","Wien","Mariahilf","01 5954502","","","http://www.yelp.at/biz/natraj-wien"
"Spirali","Italienisches RestaurantModern-Europäisches Restaurant","4.5","7","Kirchengasse 22","1070","Wien","Neubau","01 8902126","spirali.at","€ 11-20","http://www.yelp.at/biz/spirali-wien"
"Said the butcher to the cow","Burger","3.5","25","Opernring 11","1010","Wien","Innere Stadt","01 5356969","butcher-cow.at","€ 11-20","http://www.yelp.at/biz/said-the-butcher-to-the-cow-wien"
"Mr. WU","LieferserviceSushi","","","Ringmauergasse 14","9500","Villach","","04242 29998","mrwu.at","€ 11-20","http://www.yelp.at/biz/mr-wu-villach"
"Pasta... e Basta","Italienisches Restaurant","4.0","22","Werdertorgasse 10","1010","Wien","Innere Stadt","01 7966542","pastaebasta.at","€ 11-20","http://www.yelp.at/biz/pasta-e-basta-wien-2"
"Restaurant Weinbar Galeria","WeinbarItalienisches Restaurant","4.0","1","Postgasse 6","9500","Villach","","","restaurantgaleria.com","€ 21-40","http://www.yelp.at/biz/restaurant-weinbar-galeria-villach"
"Mr.Wu","Chinesisches Restaurant","4.0","1","Ringmauergasse 12","9500","Villach","","","","Unter € 10","http://www.yelp.at/biz/mr-wu-villach-2"
"Omnom burger","Burger","4.0","12","Wiedner Hauptstr. 125","1050","Wien","Margareten","0660 7071015","omnomburger.at","€ 11-20","http://www.yelp.at/biz/omnom-burger-wien"
"Roth","Deutsches RestaurantÖsterreichisches Restaurant","4.5","5","Währingerstr. 1","1090","Wien","Alsergrund","01 4027995","kremslehnerhotels.at","€ 21-40","http://www.yelp.at/biz/roth-wien"
"Pizzeria Casa Piccola","PizzaItalienisches Restaurant","5.0","4","Hernalser Gürtel 30","1090","Wien","Alsergrund","01 4083924","","€ 11-20","http://www.yelp.at/biz/pizzeria-casa-piccola-wien-3"
"Cafe Hofburg","CaféCoffee Shop","4.5","8","Innerer Burghof 1","1010","Wien","Innere Stadt","01 24100-400","cafe-hofburg.at","€ 21-40","http://www.yelp.at/biz/cafe-hofburg-wien"
"Kent","Nahöstliches Restaurant","3.5","24","Märzstr. 39","1150","Wien","Rudolfsheim-Fünfhaus","01 7898038","kentrestaurant.at","€ 11-20","http://www.yelp.at/biz/kent-wien-2"
"Schnitzel Landmann","Fast FoodÖsterreichisches Restaurant","4.5","5","Alserstr. 57","1080","Wien","Josefstadt","","schnitzel-landmann.at","€ 11-20","http://www.yelp.at/biz/schnitzel-landmann-wien"
"Restaurant Trink-Pizzeria Sul lago","Italienisches Restaurant","4.0","1","Seeblickstr. 55","9580","Villach","","04254 2307","drobollach.net","€ 11-20","http://www.yelp.at/biz/restaurant-trink-pizzeria-sul-lago-villach"
"Sakura Hu KEG","Japanisches Restaurant","4.5","8","Völkendorfer Str. 6","9500","Villach","","0699 19679516","","Unter € 10","http://www.yelp.at/biz/sakura-hu-keg-villach"
"Etap","Türkisches Restaurant","5.0","4","Neulerchenfelder Str. 13","1160","Wien","Ottakring","01 4060478","etapevent.at","€ 11-20","http://www.yelp.at/biz/etap-wien"
"Ottimo","BarModern-Europäisches Restaurant","3.5","10","Gonzagagasse 14","1010","Wien","Innere Stadt","01 9525555","ottimo.at","€ 11-20","http://www.yelp.at/biz/ottimo-wien"
"Rote Rübe","Bistro","5.0","3","Zieglergasse 37","1070","Wien","Neubau","0650 7913860","rote-rübe.com","€ 11-20","http://www.yelp.at/biz/rote-r%C3%BCbe-wien"
"Bäckerei RITZ","Bäckereien & KonditoreienCaféCoffee Shop","4.0","10","Spitalgasse 33","1090","Wien","Alsergrund","01 4023700","ritz.cc","Unter € 10","http://www.yelp.at/biz/b%C3%A4ckerei-ritz-wien"
"Restaurant Stern","Steakhouse","5.0","5","Kaiser-Josef-Platz 5","9500","Villach","","04242 24755","stern-villach.com","€ 21-40","http://www.yelp.at/biz/restaurant-stern-villach"
"Pizzeria Nicoletta","Italienisches Restaurant","4.5","13","Treffnerstrasse 100","9500","Villach","","04242 22717","nicoletta.at","€ 11-20","http://www.yelp.at/biz/pizzeria-nicoletta-villach"
"Pizzeria - Ristorante - Semo","Pizza","5.0","1","Salzburgerstraße  67","4600","Wels","","07242 25686","pizza-semo.com","Unter € 10","http://www.yelp.at/biz/pizzeria-ristorante-semo-wels"
"I&M Grill","Kroatisches Restaurant","","","Eferdingerstr. 72","4600","Wels","","0676 7969546","im-grill.at","€ 11-20","http://www.yelp.at/biz/i-und-m-grill-wels"
"PizzaMann","PizzaItalienisches Restaurant","2.0","4","Viaduktbogen 21","6020","Innsbruck","","0512 584432","mjam.net/at/#page=restaurant/…","€ 11-20","http://www.yelp.at/biz/pizzamann-innsbruck"
"sahib","Essen & TrinkenIndisches Restaurant","3.0","14","sillgasse 3indian restaurant Sahib/ zum 1.Inder","6020","Innsbruck","","0512 571468","sahib.at","€ 21-40","http://www.yelp.at/biz/sahib-innsbruck"
"Ristorante Il Dottore","Italienisches Restaurant","3.5","5","Kaiserjägerstr. 1","6020","Innsbruck","","0512 932666","il-dottore.net","€ 11-20","http://www.yelp.at/biz/ristorante-il-dottore-innsbruck"
"Hanil Sushi Bar","Japanisches Restaurant","4.5","4","Gymnasiumstr. 26","1180","Wien","Währing","01 4785429","hanil-sushi.at","€ 11-20","http://www.yelp.at/biz/hanil-sushi-bar-wien"
"Ristorante Pizzeria Campanile","PizzaItalienisches Restaurant","4.5","6","Herbststr. 59","1160","Wien","Ottakring","01 4925212","campanile.co.at","€ 11-20","http://www.yelp.at/biz/ristorante-pizzeria-campanile-wien"
"Zeljo Grill","Österreichisches Restaurant","4.5","5","Thaliastr.30","1160","Wien","Ottakring","01 4039650","zeljo.at","Unter € 10","http://www.yelp.at/biz/zeljo-grill-wien"
"jaja’s Low Carb Café","CaféCoffee ShopBistro","4.0","8","Johannesgasse 9-13","1010","Wien","Innere Stadt","0676 9669793","jajas.at","Unter € 10","http://www.yelp.at/biz/jajas-low-carb-caf%C3%A9-wien"
"Gold Rock","Japanisches RestaurantKoreanisches Restaurant","4.0","7","Reinprechtsdorferstr. 57A","1050","Wien","Margareten","01 5443644","goldrock-wien.at","€ 11-20","http://www.yelp.at/biz/gold-rock-wien-2"
"Settimo Cielo","Italienisches RestaurantHotel","4.0","6","Singerstr. 310. Stock","1010","Wien","Innere Stadt","01 5123875","kremslehnerhotels.at","€ 21-40","http://www.yelp.at/biz/settimo-cielo-wien-3"
"Restaurant Jaipur Palace","Indisches Restaurant","4.5","5","Brünnlbadgasse 15","1090","Wien","Alsergrund","01 4022123","jaipur.at","€ 11-20","http://www.yelp.at/biz/restaurant-jaipur-palace-wien"
"Fiore","Veganes RestaurantVegetarisches RestaurantPizza","4.5","7","Stollgasse 5","1070","Wien","Neubau","01 5223741","fiore1070.at","€ 11-20","http://www.yelp.at/biz/fiore-wien"
"China Restaurant Kaiser","Chinesisches Restaurant","4.5","10","Defreggerstr. 26","6020","Innsbruck","","0512 395670","chinarestaurant-kaiser.at","€ 11-20","http://www.yelp.at/biz/china-restaurant-kaiser-innsbruck"
"McDonald’s","BurgerFast Food","4.5","4","Herzog-Friedrich-Str. 35","6020","Innsbruck","","0512 5628070","mcdonalds.at","Unter € 10","http://www.yelp.at/biz/mcdonalds-innsbruck-5"
"Restaurant Kaiserstube","RestaurantPub","4.5","8","Museumstr. 31","6020","Innsbruck","","0512 589889","kaiserstube.com","€ 11-20","http://www.yelp.at/biz/restaurant-kaiserstube-innsbruck"
"Madhuban Restaurant","Indisches RestaurantVegetarisches RestaurantLounge","4.0","16","Müllerstr. 11","6020","Innsbruck","","0512 589157","madhuban.at","€ 11-20","http://www.yelp.at/biz/madhuban-restaurant-innsbruck"
"Noi","Thailändisches Restaurant","4.5","9","Kaiserjägerstrasse  1","6020","Innsbruck","","0512 589777","noithaikueche.at","€ 11-20","http://www.yelp.at/biz/noi-innsbruck"
"Ristorante Pizzeria Sapori","PizzaItalienisches Restaurant","4.5","20","Fallmerayerstrasse 12","6020","Innsbruck","","0512 587530","sapori.at","€ 11-20","http://www.yelp.at/biz/ristorante-pizzeria-sapori-innsbruck"
"Pizza City","LieferserviceItalienisches Restaurant","4.5","5","Thaliastr. 40","1160","Wien","Ottakring","01 4053017","pizzacity.at","€ 11-20","http://www.yelp.at/biz/pizza-city-wien"
"Piotrowski","SandwichPolnisches Restaurant","4.5","3","Schwertgasse 2","1010","Wien","Innere Stadt","01 5358558","belegte-broetchen.at","€ 11-20","http://www.yelp.at/biz/piotrowski-wien"
"Hollywood Burger","Burger","4.5","4","Mariahilfer Str. 148","1150","Wien","Rudolfsheim-Fünfhaus","0699 10106132","xlhollywoodburger-wien.at","Unter € 10","http://www.yelp.at/biz/hollywood-burger-wien"
"McDöner’s","Türkisches Restaurant","5.0","2","Untere Augartenstr. 2","1020","Wien","Leopoldstadt","","","Unter € 10","http://www.yelp.at/biz/mcd%C3%B6ners-wien"
"Tiger Vietnamese","Vietnamesisches Restaurant","3.5","9","Burggasse 20","1070","Wien","Neubau","01 6505502127","","€ 11-20","http://www.yelp.at/biz/tiger-vietnamese-wien?ytprail=1"
"Al Sarago","PizzaItalienisches Restaurant","4.0","8","Landstraßer Hauptstr. 117","1030","Wien","Landstraße","01 9295628","","€ 11-20","http://www.yelp.at/biz/al-sarago-wien-2"
"Kardos","Österreichisches RestaurantUngarisches Restaurant","5.0","3","Dominikanerbastei 8","1010","Wien","Innere Stadt","01 5126949","restaurantkardos.com","€ 11-20","http://www.yelp.at/biz/kardos-wien"
"Pho Sai Gon","Vietnamesisches Restaurant","4.5","5","Hegelgasse 17","1010","Wien","Innere Stadt","01 5121184","phosaigon.at","€ 11-20","http://www.yelp.at/biz/pho-sai-gon-wien-6"
"Restaurant Colombo Hoppers","Asiatisches Restaurant","3.5","26","Schönbrunner Str.84","1050","Wien","Margareten","01 5454308","colombohoppers.com","€ 21-40","http://www.yelp.at/biz/restaurant-colombo-hoppers-wien"
"Liu’s Wok","Chinesisches RestaurantLieferserviceAsiatisches Restaurant","4.0","8","Schopenhauerstr. 40","1180","Wien","Währing","01 9459999","liuswok.at","€ 11-20","http://www.yelp.at/biz/lius-wok-wien"
"Kent","Türkisches Restaurant","4.5","8","Hütteldorferstr. 117","1140","Wien","Penzing","","kent-restaurant.at","€ 11-20","http://www.yelp.at/biz/kent-wien-4"
"Akakiko","Japanisches Restaurant","3.5","11","Landstraßer Hauptstr. 59","1030","Wien","Landstraße","01 057333120","akakiko.at","€ 11-20","http://www.yelp.at/biz/akakiko-wien"
"Testa Rossa","CaféCoffee Shop","4.0","3","Südtiroler Platz 13","5020","Salzburg","","0662 453435","testarossacaffe.com","","http://www.yelp.at/biz/testa-rossa-salzburg"
"Schnitzlwirt","Österreichisches Restaurant","4.5","3","Siebenstädterstrasse 19","5020","Salzburg","","0662 431283","s-schnitzl.at","€ 11-20","http://www.yelp.at/biz/schnitzlwirt-salzburg"
"Il Padrino","Italienisches RestaurantPizza","4.0","8","Haunspergstr. 35 / Jahnstr.8","5020","Salzburg","","0662 870879","","€ 11-20","http://www.yelp.at/biz/il-padrino-salzburg"
"Donna’s Thaiküche","Thailändisches Restaurant","4.0","9","Leopoldskronstr. 7","5020","Salzburg","","0699 11985880","thaikueche.at","€ 11-20","http://www.yelp.at/biz/donnas-thaik%C3%BCche-salzburg"
"Cafe Pamina","Restaurant","4.0","10","Judengasse 17","5020","Salzburg","","0662 842338","","€ 11-20","http://www.yelp.at/biz/cafe-pamina-salzburg"
"Delhi Delights","Indisches Restaurant","3.5","7","Ungargasse 21","1030","Wien","Landstraße","01 7127137","delhidelights.at","€ 11-20","http://www.yelp.at/biz/delhi-delights-wien"
"Cafe Maximilian - Restaurant","Coffee ShopCaféModern-Europäisches Restaurant","3.5","8","Universitätsstr. 2","1090","Wien","Alsergrund","01 4057149","","€ 11-20","http://www.yelp.at/biz/cafe-maximilian-restaurant-wien"
"Lavanderia","Italienisches Restaurant","4.0","5","Albertgasse 51","1080","Wien","Josefstadt","01 9425045","lavanderia.at","€ 11-20","http://www.yelp.at/biz/lavanderia-wien"
"Mikado","Asiatisches Restaurant","4.5","5","Gymnasiumstr. 27","1180","Wien","Währing","01 4705639","mikado.cc","€ 11-20","http://www.yelp.at/biz/mikado-wien"
"Green Apple","Asiatisches Restaurant","3.5","6","Hintere Zollamtsstrasse 2b/Top 1","1030","Wien","Landstraße","01 7152251","hizo.at/asia","Unter € 10","http://www.yelp.at/biz/green-apple-wien"
"Restaurant Müldür","Türkisches RestaurantKleine Gerichte","5.0","4","Hütteldorferstr. 130c","1140","Wien","Penzing","01 9122590","müldür-restaurant.at","€ 11-20","http://www.yelp.at/biz/restaurant-m%C3%BCld%C3%BCr-wien"
"Pizzeria La Piazza","Pizza","4.5","7","Gaußplatz 7-8","1200","Wien","Brigittenau","01 3309594","","€ 11-20","http://www.yelp.at/biz/pizzeria-la-piazza-wien"
"Restaurant El Greco","Griechisches Restaurant","4.5","4","Pfauengasse 8","1060","Wien","Mariahilf","01 5874135","restaurant-elgreco.at","€ 11-20","http://www.yelp.at/biz/restaurant-el-greco-wien"
"Akasaka Sushi Bar","Japanisches RestaurantSushi","4.0","6","Vorlaufstr. 5","1010","Wien","Innere Stadt","01 5339656","","Unter € 10","http://www.yelp.at/biz/akasaka-sushi-bar-wien"
"Aganigi Naganigi","Kebab","4.5","3","Ignaz-Harrer-Str. 55","5020","Salzburg","","","","€ 11-20","http://www.yelp.at/biz/aganigi-naganigi-salzburg"
"Ninos","Italienisches Restaurant","4.5","9","Himmelstr. 2","1190","Wien","Döbling","01 3282828","ninos.at","€ 11-20","http://www.yelp.at/biz/ninos-wien"
"Rasa Sayang","Asiatisches Restaurant","4.0","9","Moosstr. 22","5020","Salzburg","","0662 828074","rasa-sayang.at","€ 11-20","http://www.yelp.at/biz/rasa-sayang-salzburg"
"Zum guten Hirten","Österreichisches RestaurantBiergarten","4.5","16","Bahnhofstr. 1","5020","Salzburg","","0662 451006","zumgutenhirten.com","€ 11-20","http://www.yelp.at/biz/zum-guten-hirten-salzburg"
"Tokyo Bay","Japanisches RestaurantSushi","4.5","14","Ignaz-Harrer-Str. 38","5020","Salzburg","","0662 243106","tokyobay.at","€ 21-40","http://www.yelp.at/biz/tokyo-bay-salzburg"
"Hotel Bristol","RestaurantNightlifeHotel","5.0","5","Makartplatz 4","5020","Salzburg","","0662 873557","","Über € 41","http://www.yelp.at/biz/hotel-bristol-salzburg"
"Restaurant Koschat 2000","Essen & TrinkenPizzaItalienisches Restaurant","2.0","6","Stift-Viktring-Strasse 1","9073","Klagenfurt-Viktring","","0463 282523","","€ 11-20","http://www.yelp.at/biz/restaurant-koschat-2000-klagenfurt-viktring"
"Ohh Sushi&Wok","Japanisches RestaurantSushi","4.0","5","Landesgerichtsstraße 12","1010","Wien","Innere Stadt","01 9574034","ohh-sushi.at","","http://www.yelp.at/biz/ohh-sushi-and-wok-wien"
"McDonald’s","Fast FoodBurger","3.5","6","Hernalser Gürtel 82 A - 87","1080","Wien","Josefstadt","01 4082900","mcdonalds.at","€ 11-20","http://www.yelp.at/biz/mcdonalds-wien"
"China-Restaurant Goldener Drache","Chinesisches Restaurant","3.5","5","Porzellangasse 33","1090","Wien","Alsergrund","01 3173318","goldener-drachen.at","€ 21-40","http://www.yelp.at/biz/china-restaurant-goldener-drache-wien"
"AJ’s American Diner","Amerikanisches RestaurantBurgerDiner","3.5","8","Severingasse 5","1090","Wien","Alsergrund","01 2763390","ajsamericandiner.com/de","€ 11-20","http://www.yelp.at/biz/ajs-american-diner-wien-2"
"Buffet 019","Wirtshaus","4.0","4","Gerhardusgasse 24","1200","Wien","Brigittenau","0676 5298116","","","http://www.yelp.at/biz/buffet-019-wien"
"Oishii Sushi","SushiJapanisches RestaurantVietnamesisches Restaurant","4.5","3","Nussdorferstr. 86","1090","Wien","Alsergrund","0699 10742976","oishii-sushi.at","€ 11-20","http://www.yelp.at/biz/oishii-sushi-wien"
"Pizzeria Cara Mia","LieferserviceItalienisches RestaurantPizza","4.0","16","Pragerstraße 65","1210","Wien","Floridsdorf","01 2707886","pizzaontour.at","€ 11-20","http://www.yelp.at/biz/pizzeria-cara-mia-wien-3"
"Tien Tsin","Chinesisches Restaurant","4.0","5","Ramperstorffergasse 47/1/5","1050","Wien","Margareten","01 5445751","","Unter € 10","http://www.yelp.at/biz/tien-tsin-wien"
"Lucullus Restaurant","Österreichisches Restaurant","4.0","5","Neulinggasse 29","1030","Wien","Landstraße","01 7180215","lucullus-catering.at","€ 11-20","http://www.yelp.at/biz/lucullus-restaurant-wien"
"Hayaci Sushi Bar","Sushi","3.5","9","Währingerstr. 14","1090","Wien","Alsergrund","0699 11152226","hayaci.at","Unter € 10","http://www.yelp.at/biz/hayaci-sushi-bar-wien"
"China Restaurant Bambus","Chinesisches Restaurant","5.0","1","Klagenfurterstr. 5","9170","Ferlach","","04227 20470","","€ 11-20","http://www.yelp.at/biz/china-restaurant-bambus-ferlach"
